site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
mar-menor,2018-06-10,4,S2A_30SXG_20180610_0_L2A;S2A_30SXG_20180610_1_L2A;S2A_30SYG_20180610_0_L2A;S2A_30SYG_20180610_1_L2A,1.0,0.036,0.964,0.0892,13582.8,12925.2,0.9872,0.6,12946.0,1430.6,-0.1039,0.001,0.0172,0.0,ok,2026-09-02T13:00:50+00:00
mar-menor,2018-06-15,4,S2B_30SXG_20180615_0_L2A;S2B_30SXG_20180615_1_L2A;S2B_30SYG_20180615_0_L2A;S2B_30SYG_20180615_1_L2A,1.0,0.0092,0.9908,0.0945,13582.8,13262.1,0.9855,1.3,13295.8,1801.3,-0.1011,0.0009,0.0194,0.0,ok,2026-09-02T13:00:50+00:00
mar-menor,2018-06-20,4,S2A_30SXG_20180620_0_L2A;S2A_30SXG_20180620_1_L2A;S2A_30SYG_20180620_0_L2A;S2A_30SYG_20180620_1_L2A,1.0,0.1111,0.8889,0.0689,13582.8,11874.4,0.9834,2.6,11920.5,663.2,-0.1536,-0.009,0.0178,0.0014,ok,2026-09-02T13:00:50+00:00
mar-menor,2018-06-25,4,S2B_30SXG_20180625_0_L2A;S2B_30SXG_20180625_1_L2A;S2B_30SYG_20180625_0_L2A;S2B_30SYG_20180625_1_L2A,1.0,0.0294,0.9706,0.085,13582.8,12971.7,0.984,0.6,13011.7,559.0,-0.0995,0.0039,0.0176,0.0,ok,2026-09-02T13:01:33+00:00
mar-menor,2018-06-30,2,S2A_30SXG_20180630_0_L2A;S2A_30SYG_20180630_0_L2A,1.0,0.8048,0.1952,0.1091,13582.8,2595.3,0.9788,0.0,2616.9,1819.8,-0.0925,0.0072,0.0227,0.0,nublado,2026-09-02T13:00:50+00:00
mar-menor,2018-07-05,4,S2B_30SXG_20180705_0_L2A;S2B_30SXG_20180705_1_L2A;S2B_30SYG_20180705_0_L2A;S2B_30SYG_20180705_1_L2A,1.0,0.0223,0.9777,0.0649,13582.8,13020.7,0.9805,32.2,13118.2,6226.4,-0.2719,-0.0634,0.0164,0.0094,ok,2026-09-02T13:01:33+00:00
mar-menor,2018-07-10,2,S2A_30SXG_20180710_0_L2A;S2A_30SYG_20180710_0_L2A,1.0,0.0543,0.9457,0.077,13582.8,12647.6,0.9847,1.9,12692.5,328.4,-0.1179,-0.002,0.0185,0.0005,ok,2026-09-02T13:01:33+00:00
mar-menor,2018-07-15,2,S2B_30SXG_20180715_0_L2A;S2B_30SYG_20180715_0_L2A,1.0,0.0055,0.9945,0.0919,13582.8,13255.8,0.9813,0.7,13324.6,3520.6,-0.0685,0.0107,0.0216,0.0,ok,2026-09-02T13:01:33+00:00
mar-menor,2018-07-25,2,S2B_30SXG_20180725_0_L2A;S2B_30SYG_20180725_0_L2A,1.0,0.774,0.226,0.1125,13582.8,2916.9,0.9504,0.6,3043.1,1399.7,-0.1544,-0.0209,0.0227,0.0,nublado,2026-09-02T13:01:33+00:00
mar-menor,2018-07-30,2,S2A_30SXG_20180730_0_L2A;S2A_30SYG_20180730_0_L2A,1.0,0.2705,0.7295,0.055,13582.8,9665.8,0.9754,2.2,9768.4,1896.0,-0.1669,-0.0221,0.0084,0.002,nublado,2026-09-02T13:01:33+00:00
mar-menor,2018-08-04,4,S2B_30SXG_20180804_0_L2A;S2B_30SXG_20180804_1_L2A;S2B_30SYG_20180804_0_L2A;S2B_30SYG_20180804_1_L2A,1.0,0.0312,0.9688,0.0585,13582.8,12960.9,0.985,2.3,13003.4,8177.9,-0.1797,-0.0194,0.0082,0.0018,ok,2026-09-02T13:01:33+00:00
mar-menor,2018-08-09,4,S2A_30SXG_20180809_0_L2A;S2A_30SXG_20180809_1_L2A;S2A_30SYG_20180809_0_L2A;S2A_30SYG_20180809_1_L2A,1.0,0.0596,0.9404,0.0614,13582.8,12561.5,0.9835,11.4,12643.6,7831.1,-0.1712,-0.0108,0.0113,0.0005,ok,2026-09-02T13:01:33+00:00
mar-menor,2018-08-14,4,S2B_30SXG_20180814_0_L2A;S2B_30SXG_20180814_1_L2A;S2B_30SYG_20180814_0_L2A;S2B_30SYG_20180814_1_L2A,1.0,0.0234,0.9766,0.0506,13582.8,13070.4,0.9853,1.0,13128.5,12578.6,-0.2637,-0.0252,0.0055,0.0015,ok,2026-09-02T13:01:33+00:00
mar-menor,2018-08-19,4,S2A_30SXG_20180819_0_L2A;S2A_30SXG_20180819_1_L2A;S2A_30SYG_20180819_0_L2A;S2A_30SYG_20180819_1_L2A,1.0,0.7355,0.2645,0.0893,13582.8,3518.9,0.9794,0.3,3542.7,3050.8,-0.1805,-0.0044,0.0178,0.0002,nublado,2026-09-02T13:02:30+00:00
mar-menor,2018-08-24,4,S2B_30SXG_20180824_0_L2A;S2B_30SXG_20180824_1_L2A;S2B_30SYG_20180824_0_L2A;S2B_30SYG_20180824_1_L2A,1.0,0.05,0.95,0.0446,13582.8,12692.0,0.9836,2.8,12738.2,12529.5,-0.2467,-0.028,0.0066,0.0044,ok,2026-09-02T13:02:30+00:00
mar-menor,2018-08-29,4,S2A_30SXG_20180829_0_L2A;S2A_30SXG_20180829_1_L2A;S2A_30SYG_20180829_0_L2A;S2A_30SYG_20180829_1_L2A,1.0,0.0767,0.9233,0.0317,13582.8,12324.9,0.9828,1.3,12377.3,11797.4,-0.2803,-0.0089,0.0286,0.0037,ok,2026-09-02T13:02:30+00:00
mar-menor,2018-09-03,1,S2B_30SXG_20180903_0_L2A,1.0,0.3599,0.6401,0.0664,13582.8,8367.9,0.9624,86.7,8542.6,705.9,-0.1367,0.0031,0.0325,0.0001,nublado,2026-09-02T13:01:33+00:00
mar-menor,2018-09-13,4,S2B_30SXG_20180913_0_L2A;S2B_30SXG_20180913_1_L2A;S2B_30SYG_20180913_0_L2A;S2B_30SYG_20180913_1_L2A,1.0,0.4774,0.5226,0.0485,13582.8,6956.2,0.9799,59.6,7033.7,6156.9,-0.256,-0.0006,0.0576,0.0044,nublado,2026-09-02T13:01:33+00:00
mar-menor,2018-09-18,4,S2A_30SXG_20180918_0_L2A;S2A_30SXG_20180918_1_L2A;S2A_30SYG_20180918_0_L2A;S2A_30SYG_20180918_1_L2A,1.0,0.5397,0.4603,0.0481,13582.8,5923.0,0.9473,0.5,6150.8,3625.9,-0.1851,-0.0009,0.0321,0.0001,nublado,2026-09-02T13:02:30+00:00
mar-menor,2018-09-23,2,S2B_30SXG_20180923_0_L2A;S2B_30SYG_20180923_0_L2A,1.0,0.0052,0.9948,0.0216,13582.8,13298.5,0.9842,6.5,13355.7,13262.9,-0.6535,-0.2389,-0.0123,0.0268,ok,2026-09-02T13:01:33+00:00
mar-menor,2018-09-28,4,S2A_30SXG_20180928_0_L2A;S2A_30SXG_20180928_1_L2A;S2A_30SYG_20180928_0_L2A;S2A_30SYG_20180928_1_L2A,1.0,0.5399,0.4601,0.0691,13582.8,5737.0,0.918,25.0,6160.9,4096.4,-0.2483,-0.0469,0.0244,0.0009,nublado,2026-09-02T13:02:30+00:00
mar-menor,2018-10-03,2,S2B_30SXG_20181003_0_L2A;S2B_30SYG_20181003_0_L2A,1.0,0.0054,0.9946,0.0196,13582.8,13294.2,0.9841,5.1,13353.4,13270.0,-0.6532,-0.3866,-0.1171,0.0187,ok,2026-09-02T13:02:30+00:00
mar-menor,2018-10-08,2,S2A_30SXG_20181008_0_L2A;S2A_30SYG_20181008_0_L2A,1.0,0.1616,0.8384,0.0343,13582.8,10420.6,0.9151,130.0,11133.8,11382.8,-0.3501,-0.0468,0.0303,0.0047,ok,2026-09-02T13:02:30+00:00
mar-menor,2018-10-13,4,S2B_30SXG_20181013_0_L2A;S2B_30SXG_20181013_1_L2A;S2B_30SYG_20181013_0_L2A;S2B_30SYG_20181013_1_L2A,1.0,0.1123,0.8877,0.0276,13582.8,11203.8,0.9292,32.0,11906.0,12024.0,-0.5493,-0.1526,0.0182,0.0207,ok,2026-09-02T13:02:30+00:00
mar-menor,2018-11-02,2,S2B_30SXG_20181102_0_L2A;S2B_30SXG_20181102_1_L2A,1.0,1.0,0.0,,13582.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-02T13:02:47+00:00
mar-menor,2018-11-07,2,S2A_30SXG_20181107_0_L2A;S2A_30SYG_20181107_0_L2A,1.0,0.002,0.998,0.0047,13582.8,13129.8,0.9686,15.1,13235.2,13433.8,-0.927,-0.0648,0.0,0.0118,ok,2026-09-02T13:02:30+00:00
mar-menor,2018-11-17,2,S2A_30SXG_20181117_0_L2A;S2A_30SYG_20181117_0_L2A,1.0,0.5856,0.4144,0.0642,13582.8,5165.3,0.9176,55.6,5522.6,5634.1,-0.242,-0.0493,0.016,0.0003,nublado,2026-09-02T13:02:47+00:00
mar-menor,2018-11-22,1,S2B_30SYG_20181122_0_L2A,0.0211,1.0,0.0,,13582.8,0.0,0.0,0.0,0.0,0.0,,,,,sin_datos,2026-09-02T13:02:30+00:00
mar-menor,2018-11-27,2,S2A_30SYG_20181127_0_L2A;S2A_30SYG_20181127_1_L2A,0.0211,1.0,0.0,,13582.8,0.0,0.0,0.0,0.0,0.0,,,,,sin_datos,2026-09-02T13:02:30+00:00
mar-menor,2018-12-02,2,S2B_30SXG_20181202_0_L2A;S2B_30SYG_20181202_0_L2A,1.0,0.0105,0.9895,0.0212,13582.8,13247.0,0.9856,14.0,13294.6,13325.0,-0.6911,-0.3699,-0.0333,0.0149,ok,2026-09-02T13:02:30+00:00
mar-menor,2018-12-07,2,S2A_30SXG_20181207_0_L2A;S2A_30SYG_20181207_0_L2A,1.0,0.0024,0.9976,0.0235,13582.8,13368.2,0.9866,16.5,13387.7,13436.3,-0.574,-0.2757,-0.0843,0.0085,ok,2026-09-02T13:02:47+00:00
